,Pays,Société,Seniority,Simplified_Sector,Region,Company_Frequency,Job_Category,is_large_company
0,38,136,2,2,4,3,2,0
1,8,349,2,2,7,1,2,1
2,38,9,2,2,4,2,6,0
3,4,5,2,2,0,2,2,0
4,38,29,3,6,4,1,6,0
5,4,98,2,2,0,2,1,0
6,38,312,2,5,4,3,4,0
7,8,291,2,2,7,1,6,1
8,8,255,2,3,7,1,2,0
9,16,199,2,2,4,1,0,0
10,4,360,1,2,0,1,2,0
11,2,166,2,6,7,1,6,1
12,8,163,2,3,7,1,6,0
13,8,113,2,2,7,2,6,0
14,16,371,1,1,4,1,6,0
15,38,93,2,2,4,1,0,0
16,38,30,3,2,4,1,6,0
17,38,138,2,0,4,2,6,0
18,38,32,1,2,4,1,6,0
19,38,207,1,2,4,2,2,0
20,38,23,2,2,4,1,2,0
21,26,58,3,2,0,1,2,1
22,38,351,2,2,4,2,4,0
23,23,222,2,2,5,2,3,0
24,8,99,3,2,7,1,6,0
25,38,193,2,8,4,1,3,0
26,4,98,2,2,0,2,6,0
27,38,9,2,2,4,2,2,0
28,8,77,2,2,7,1,2,0
29,38,312,2,5,4,3,6,0
30,4,155,2,2,0,3,6,0
31,4,5,2,2,0,2,6,0
32,24,137,2,2,5,1,3,0
33,38,260,2,8,4,1,6,0
34,3,118,2,2,1,1,6,0
35,4,61,2,6,0,1,4,0
36,38,311,2,6,4,1,6,1
37,38,138,2,0,4,2,6,0
38,38,52,2,2,4,3,2,0
39,16,367,2,1,4,1,6,0
40,24,110,2,5,5,2,2,0
41,4,155,3,2,0,3,2,0
42,38,81,2,2,4,2,2,0
43,38,96,3,2,4,4,6,0
44,16,20,3,1,4,2,2,0
45,0,176,2,10,4,2,2,0
46,38,52,2,2,4,3,6,0
47,38,374,2,2,4,2,5,0
48,38,336,1,2,4,3,2,0
49,35,90,2,1,5,1,5,0
50,38,117,2,2,4,1,6,0
51,8,112,2,2,7,1,2,0
52,0,176,2,10,4,2,2,0
53,4,16,2,2,0,1,2,0
54,16,20,1,1,4,2,6,0
55,38,188,2,2,4,1,6,0
56,38,10,3,5,4,1,6,0
57,4,348,2,10,0,1,2,1
58,38,336,2,2,4,3,0,0
59,21,141,2,10,3,1,2,0
60,24,157,3,5,5,1,6,0
61,4,314,1,2,0,1,6,0
62,38,0,2,2,4,1,2,0
63,38,81,3,2,4,2,6,0
64,38,96,2,2,4,4,6,0
65,4,123,3,2,0,1,5,0
66,4,355,0,2,0,1,0,0
67,14,184,3,2,7,1,6,1
68,8,113,2,2,7,2,6,0
69,38,312,3,5,4,3,6,0
70,8,107,2,6,7,1,6,0
71,16,36,2,1,4,2,6,0
72,24,292,2,10,5,1,2,0
73,38,248,3,5,4,1,2,0
74,2,68,2,6,7,1,6,0
75,38,96,3,2,4,4,6,0
76,8,257,2,2,7,1,2,0
77,0,24,2,10,4,3,0,0
78,38,374,1,2,4,2,6,0
79,5,299,3,6,0,1,6,0
80,16,238,3,2,4,1,3,0
81,8,72,3,2,7,1,6,0
82,4,155,2,2,0,3,6,0
83,24,110,2,5,5,2,4,0
84,38,351,3,2,4,2,0,0
85,37,226,2,2,7,1,6,0
86,23,297,2,2,5,3,2,0
87,27,323,3,6,0,1,6,0
88,38,336,1,2,4,3,2,0
89,8,219,2,2,7,1,2,1
90,24,213,2,10,5,1,1,0
91,38,52,3,2,4,3,4,0
92,38,329,2,0,4,1,4,0
93,38,340,3,2,4,1,6,0
94,38,207,3,2,4,2,6,0
95,16,36,2,1,4,2,2,0
96,23,297,2,2,5,3,4,0
97,0,24,2,10,4,3,4,0
98,5,212,2,6,0,1,6,0
99,0,24,3,10,4,3,6,0
100,1,315,3,2,7,1,6,0
101,8,77,2,2,7,1,2,0
102,16,278,2,1,4,1,2,0
103,4,181,2,2,0,1,2,1
104,23,222,2,2,5,2,5,0
105,4,17,3,2,0,1,6,0
106,4,296,2,4,0,1,2,0
107,4,251,2,8,0,1,4,0
108,32,173,2,6,7,1,6,0
109,38,312,3,6,4,1,6,0
110,38,21,2,2,4,1,6,0
111,38,136,2,2,4,3,0,0
112,38,96,3,2,4,4,2,0
113,16,252,3,1,4,1,6,0
114,38,136,3,2,4,3,6,0
115,4,285,2,1,0,1,2,0
116,23,297,2,2,5,3,2,0
